,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.20261437908496738,0.19436274509803916,0.19493464052287568,0.18243464052287583,0.18039215686274518,0.17647058823529413,0.17573529411764707,0.17769607843137258,0.16830065359477125,0.17990196078431378,0.16985294117647057,0.16781045751633983,0.1652777777777777,0.15898692810457515,0.16642156862745106,0.14820261437908497,0.1899509803921568,0.17696078431372547,0.16552287581699346,0.1550653594771242
severe drought,0.025408496732026126,0.018790849673202614,0.0190359477124183,0.013970588235294117,0.01127450980392157,0.012663398692810456,0.009558823529411767,0.008823529411764707,0.0029411764705882353,0.008006535947712421,0.0021241830065359475,0.0020424836601307186,0.000980392156862745,0.00065359477124183,0.0022058823529411764,0.0007352941176470588,0.014460784313725489,0.008741830065359479,0.0035130718954248367,0.0008169934640522875
historical drought,0.16274509803921577,0.1568627450980392,0.15661764705882353,0.14975490196078425,0.1465686274509804,0.14730392156862746,0.14509803921568626,0.14387254901960786,0.13235294117647062,0.14705882352941171,0.13455882352941173,0.1352941176470588,0.1323529411764706,0.12598039215686274,0.13284313725490193,0.11838235294117645,0.15465686274509804,0.1399509803921568,0.1316176470588235,0.12426470588235296
historical severe drought,0.006372549019607842,0.004411764705882353,0.004411764705882353,0.003676470588235294,0.0031862745098039215,0.003431372549019608,0.003431372549019608,0.004656862745098039,0.0012254901960784314,0.0036764705882352936,0.0007352941176470588,0.0014705882352941176,0.0012254901960784314,0.0007352941176470588,0.0012254901960784314,0.00024509803921568627,0.00392156862745098,0.003186274509803921,0.0004901960784313725,0.0012254901960784316
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,6.224899598393573,13.629687499999998,23.64840897235262,28.01909438079652,23.384615384615394,22.762063227953412,20.58952702702703,16.056218057921637,6.358024691358024,3.670000000000002,6.311475409836066,11.16304347826087,11.238888888888882,17.667963683527887,20.044280442804443,2.503795721187026,3.684627575277336,6.322241681260947,2.5152079453755434,9.982905982905981
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
