,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣
drought,0.17234848484848483,0.16893939393939392,0.17234848484848483,0.16174242424242424,0.15227272727272728,0.15000000000000002,0.14431818181818182,0.14924242424242423,0.14166666666666666,0.1590909090909091,0.14621212121212124,0.15492424242424244,0.1462121212121212,0.14810606060606063,0.1632575757575758,0.1515151515151515,0.17424242424242425,0.16287878787878787,0.1647727272727273,0.13522727272727275
severe drought,0.021212121212121217,0.017045454545454548,0.017424242424242425,0.014015151515151515,0.010606060606060607,0.012121212121212121,0.010227272727272725,0.009469696969696968,0.004924242424242425,0.008712121212121211,0.004166666666666667,0.003409090909090909,0.0018939393939393938,0.0018939393939393942,0.0015151515151515152,0.0003787878787878788,0.01363636363636364,0.007954545454545454,0.002272727272727273,0.004166666666666667
historical drought,0.16249999999999998,0.15833333333333333,0.15606060606060607,0.1484848484848486,0.14772727272727276,0.14772727272727276,0.14696969696969706,0.1431818181818182,0.1261363636363636,0.14356060606060625,0.12840909090909086,0.12840909090909092,0.12310606060606057,0.1147727272727272,0.12575757575757568,0.11174242424242435,0.1522727272727269,0.13787878787878782,0.12310606060606066,0.11174242424242439
historical severe drought,0.005681818181818181,0.004166666666666667,0.0037878787878787876,0.0030303030303030303,0.0018939393939393938,0.002272727272727273,0.0022727272727272735,0.003030303030303033,0.0007575757575757576,0.002272727272727275,0.0003787878787878788,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0007575757575757575,0.0003787878787878788,0.0030303030303030286,0.0022727272727272726,0.0,0.0015151515151515158
drought score,5.0,11.0,19.0,23.0,19.0,19.0,17.0,13.0,5.0,3.0,5.0,9.0,9.0,14.0,16.0,2.0,3.0,5.0,2.0,8.0
modified drought score,5.303030303030303,11.736842105263158,20.98300970873786,25.053571428571406,19.584615384615383,19.29230769230769,16.693298969072156,13.550264550264547,5.615615615615617,3.3245382585751937,5.693215339233041,10.858407079646017,10.689230769230772,18.066006600660078,20.771084337349414,2.711864406779658,3.4328358208955314,5.906593406593409,2.676923076923076,9.68135593220338
water demand,48.5,188.1,89.1,120.4,27.1,27.1,20.8,134.5,39.6,17.0,27.2,14.6,14.6,95.3,149.0,20.0,19.3,10.8,7.4,2.5
original drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
future drought hazard level,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0
"water demand level(2=high, 1=low)",1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
drought risk,1.0,4.0,6.0,6.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0
risk level,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
